"iso","umd_tree_cover_extent_2010__ha","area__ha"
"ABW",23.75065520995550984,18197.51125791323617977
"AFG",71796.79008991052628202,64385715.38638367695857613
"AGO",53847200.67031073799415750,124742297.51717784580615442
"AIA",1390.85205631423554228,8332.24776609411431551
"ALA",103074.04037864038489045,150643.27693975240670124
"ALB",589016.729849105831732004,2873537.20724878190250597
"AND",18961.946849659135911225,45196.410731844279993305
"ARE",0.0,7120447.90264910814459695
"ARG",38380241.193661680402583065,278010122.069233461467607616
"ARM",248991.661360576929899216,2969008.679990218180189489
"ATF",160.16429092034204,4361.769312734769533
"ATG",19975.90793157372679378,43575.65842128846923706
"AUS",39480481.829747442107422176,768791340.120067663821581536
"AUT",4348982.198886564870625185,8385801.90550019679545652
"AZE",1082393.862485561974725178,8623532.539268607466631854
"BDI",553131.12405515503980404,2693531.44182182008773581
"BEL",890289.177962714785510036,3070744.164067859812249476
"BEN",435562.73300064169861555,11542318.34442302770320134
"BES",3737.01031182034980408,32365.98588800562158960
"BFA",2238.82623061327631005,27341710.74522515978940177
"BGD",2216745.21339769246299745,13938437.34061682012607119
"BGR",3957411.760738534935589026,11158730.954921594064664574
"BHR",0.0,71517.71355012742500441
"BHS",344168.16656303465990053,1338763.00509959465746964
"BIH",2579843.087534667196747474,5106883.29435690243091815
"BLM",559.7921179181515200,2468.52481734927416195
"BLR",9486572.03648154953021206,20706912.08808545982899758
"BLZ",1751343.97352005831777015,2198946.13206762234509758
"BMU",780.37499199042344947,6808.11859427956730014
"BOL",62714152.82295296914114048,108339284.56963705923303651
"BRA",498198381.95377953046077457,850035649.73939372244971044
"BRB",6350.92903459358678506,43466.14610412592782989
"BRN",528769.55828440300880073,577778.77387918104250832
"BTN",2508702.84793855621504231,3876296.12215415177680302
"BWA",4580.82744848353682306,57788401.20904698261878304
"CAF",47240766.01737489635620952,62019959.33841692014410462
"CAN",421403219.914422996103325633,983422993.937904679631165642
"CHE",1554422.68338687575250026,4124549.641870491239312687
"CHL",20796593.485912856880463720,75735291.610012338608705906
"CHN",154440710.574732045443831531,938223515.692180563173118096
"CIV",13953283.81443528844721383,32165794.10811168072336997
"CMR",30543473.76965417952824006,46604005.88968880724305316
"COD",198452936.04146394932983048,232912780.76088598012772870
"COG",26636720.13063990355368077,34173222.79362298296947228
"COL",81738197.69746042879755857,113675874.94466179545216482
"COM",132154.42801024194323417,167304.82830115608626170
"CPV",6766.6242855827205279,409097.906602070037057
"CRI",3869963.09377136241648569,5117666.97282901968856042
"CUB",4239756.46320595891076397,11073121.95109048627101968
"CUW",4570.64110215231369497,43776.98739261684819052
"CYM",14365.12428608449998764,28039.82870751686941243
"CYP",91627.96535288803187162,571955.85590313843303919
"CZE",3225755.261126632526292216,7883558.885974128302363341
"DEU",12781381.96412586916641095,35783855.986941356129753905
"DJI",0.0,2186335.7649968281184120
"DMA",70693.81104877671441030,75428.07801474677389641
"DNK",720289.62871381842478742,4314471.77057476306145743
"DOM",2454726.90165282437572492,4809195.18837632798520641
"DZA",821605.829297131683626600,230804377.307475247840119995
"ECU",19227279.52611254755382362,25611545.43210181913408582
"EGY",143311.89790278823424502,98376439.43319304474138582
"ERI",43.01962271658747704,12045733.19758749766353820
"ESH",0.0,26732059.5521597578035121
"ESP",10435459.380462806301230839,50604278.841078573581280026
"EST",2725544.02365850130390495,4548974.01267704515260593
"ETH",12361077.93627199700798265,112951806.95088766856268368
"FIN",22817318.59827579713171930,33693917.99093810004214743
"FJI",1418743.58451931899739243,1808230.97430812801122764
"FLK",16829.9279191595156265,1239764.463493973903277
"FRA",16838139.21704968759007281,54951497.53228478403930611
"FRO",0.0,143971.29834117734858264
"FSM",6205.94190142176925205,10266.9444925617826798
"GAB",24699923.14262825414765520,26454969.88269717486084823
"GBR",5005121.809843024308760396,24548497.615154860699231726
"GEO",2989946.77153517169182225,6984457.38667327388664187
"GGY",1936.23954296347588343,8844.9375590155694429
"GHA",7034626.87866901272057846,23832413.12140842407468846
"GIB",113.92347068803825,721.21646588172669397
"GIN",8023663.68970273676978848,24481606.68352769429086546
"GLP",101680.98452127838540171,165028.80176981184105811
"GMB",3885.45442511285824725,1067050.75194433742442018
"GNB",1126587.47969401041757862,3388205.00461437058559511
"GNQ",2630327.86561822918727101,2695935.33829353186260087
"GRC",3620382.077093159724138462,13257505.410981749417897936
"GRD",27554.23000118037721172,35953.33668168481033441
"GRL",0.0,12409768.809413021059993
"GTM",7034116.81743487664950122,10915098.49020758222428201
"GUF",8157813.50599281823813604,8330096.72653049233250526
"GUY",19052059.82641699664817558,20974416.13835187274909561
"HKG",62931.92448275623437962,112913.21583203568781462
"HND",7554765.96452053568846584,11228979.89758699385957945
"HRV",2348219.761872815346115736,5707840.16868147045057495
"HTI",792451.29070578215600254,2710683.58727077813291575
"HUN",1991867.85975234026069045,9305263.74442724645589022
"IDN",157793271.86360383127011564,189024469.02198022171255052
"IMN",16049.27246853373075656,57966.5095725230737779
"IND",34435273.20931228524781328,315279651.30503394053285440
"IRL",1500431.39490733644414105,7036644.645937796879611695
"IRN",1370815.41919101205070588,162173902.839995728993016364
"IRQ",27445.42643314615128853,44535864.69401225703125768
"ISL",424690.21015831592640,10222425.8295589217033
"ISR",29087.74211508312380868,2215883.36642866486132754
"ITA",9437233.516700409975433226,30075442.783975138301154826
"JAM",755059.42606634466640173,1099979.93279540539897514
"JEY",1739.33064617292726820,12512.5519569385074507
"JOR",2767.08423962994015355,8911879.30131102706011589
"JPN",26256128.442390192778639790,37240326.656746937386061114
"KAZ",4527053.896265464031424067,273053036.224314666033934897
"KEN",3335503.28021223443796382,58598335.71896742239609743
"KGZ",577909.54037647518703528,19864898.7038508773681782
"KHM",7641739.74941842477918271,18135960.79359206964451839
"KIR",0.0,689.8485050325128
"KNA",13750.41518394878787949,26717.78772642997441065
"KOR",5106668.656935931155188552,10022829.791974272103138416
"KWT",0.0,1738893.7953499295210218
"LAO",17941851.24427631698654829,23000147.78672117893134268
"LBN",57763.00751820051426074,1023803.86081603565874135
"LBR",9283496.20601960683383114,9591801.58297115978869261
"LBY",4526.84735051904418604,161606184.8479434841467087
"LCA",49888.82884119745721272,61447.62916553653023161
"LIE",8909.18795562500210120,16203.8093219298403717
"LKA",3532232.56258535883486422,6583727.01456335690767339
"LSO",10578.83200009508826777,3054531.16285639454851621
"LTU",2409461.22067230928461355,6501662.939354114115864816
"LUX",103462.56744015313881673,258155.73939616083915109
"LVA",3690741.533288991871287826,6470996.26092465405942496
"MAC",431.74318560207864903,3412.78642429265890496
"MAF",1824.09488250414453769,5616.34278553873862317
"MAR",405762.55455125429803285,41348767.35079896199103133
"MCO",0.39163001331163194,235.29748447853303349
"MDA",358429.37572184207321669,3390780.839077732447494467
"MDG",16436354.90380497801646956,59144707.32516677241743264
"MDV",2787.10650557891202970,27912.71303579203558581
"MEX",50346718.41485758300669848,195185464.54582010114293492
"MKD",614849.34902529251580497,2482514.9576145233241210
"MLI",49160.32886492467656066,125119256.16729545661228149
"MLT",115.54951064404082671,32334.79077928859713268
"MMR",40919356.86439845822711167,66929667.32947999900648734
"MNE",580119.942442558272022813,1333523.258734443242423459
"MNG",3552633.28860683798680146,156624744.504993105717627961
"MOZ",26973824.45398977005499496,78729716.65135535043429893
"MRT",0.81280969193359385,104117150.64117217873633776
"MSR",4414.56852970376009985,10061.8220791477154335
"MTQ",77223.10482587326646836,111787.95517227370067386
"MUS",89164.08167882653481100,191366.76446961126351332
"MWI",1470589.65717705711432057,11802885.39490328615153207
"MYS",28632040.71423911715818511,32938348.75983515622164395
"MYT",33445.76010411202736837,39165.17965126974256218
"NAM",685.38635611945752630,82385622.18475385407141913
"NCL",1397591.71278452235650512,1882559.40746865289953785
"NER",47.80859348841690311,118366970.16952199887067476
"NFK",0.0,4062.59887483270595
"NGA",10934411.38637685900532608,90840998.02039910744867071
"NIC",7622238.68688428351903324,12821978.47609522260750159
"NLD",710845.61324084604916171,3766566.364398996266167596
"NOR",13054562.577517099411096876,32512221.025825926603495735
"NPL",4801739.52405317677533522,14766249.54440743522528955
"NRU",0.0,2215.2335263393702
"NZL",11432789.778804666496955677,26716575.124389169496400068
"OMN",0.14747949771158855,30933274.08645123563678469
"PAK",648195.80258202150962507,87417630.59556703658311101
"PAN",5545904.37445430689855635,7510419.90445353331411671
"PER",78780800.28208936630476244,129281868.51759540817943692
"PHL",18391764.83379470233055900,29585658.16289541065035241
"PLW",40556.81464970713990030,48743.20538078799796578
"PNG",42921261.98800999042332300,46363061.21418392268273298
"POL",10635332.93617533397231005,31239917.80009552272338598
"PRI",540759.52450360191433142,897037.27464474141961892
"PRK",4996431.225376005019558340,12275519.138587364620517638
"PRT",2171272.697743269037895886,8955505.678182834866852915
"PRY",20452833.17969035721736210,39958667.52153217847642586
"PSE",853.57270209913116676,621996.68332012788433132
"QAT",0.0,1162493.79962663965301785
"REU",170199.442273632330233,251271.105014711451067
"ROU",7652863.047813416229715682,23833793.638779258913710215
"RUS",754772096.287971041032763202,1689455451.854777451140552996
"RWA",517839.78163134732580655,2527769.91218262231289947
"SAU",0.0,191598433.63238646415343523
"SDN",72598.11562891236588462,187213491.71256351962621880
"SEN",47869.19466741740181293,19688982.71259515249448692
"SGP",20634.30392046954889506,69703.69605878368901085
"SJM",0.0,5442472.3736774274374
"SLB",2727147.03573267506756074,2853324.00584823550659267
"SLE",5426957.74067486239597115,7260135.88614752161399942
"SLV",921957.56715663864899951,2042272.85894926503091787
"SMR",983.8386543703764002,6122.352960187077976
"SOM",146473.07408169448405600,63353849.52120362956402221
"SPM",10178.1147833636905732,22663.41677143620788113
"SRB",2524648.97055780813710217,7823140.49142832657051436
"SSD",13259458.33431179935311985,62809870.69840365214787621
"STP",14213.42087379266675404,100217.9877254075333042
"SUR",13997728.08034400568649243,14642556.86529227755779965
"SVK",2375637.082473538985378437,4909915.804720572709124107
"SVN",1265618.126270526548265763,1998090.785493070289042345
"SWE",29064876.027921537487879107,45004558.106551215821502757
"SWZ",420922.92285251783449237,1738333.06301442092863887
"SXM",852.18056007081565546,3801.38751521779961728
"SYC",5605.8266050382161187,20267.93208728904960801
"SYR",116470.07622170566418078,18691798.39213449598229951
"TCA",11081.50606550467727192,99152.01584845890596409
"TCD",622312.23028577259878993,126995174.50108101738991284
"TGO",599792.92837829392131925,5699519.20201679311129789
"THA",19272250.73350068146976963,51405448.59427833164799120
"TJK",31672.775597460000297869,14211295.40572036862855291
"TKM",7563.726962299623819904,48959209.55421509124961359
"TLS",692838.86585512463064537,1491565.39233698843320437
"TTO",383299.98140642639004578,515899.59454438763738262
"TUN",169253.317400736417718085,15486458.27095303216037744
"TUR",8957674.323139599351500524,78070340.890014757083910222
"TUV",0.0,49.9008349886126798
"TWN",2276151.12023227944904003,3640651.39732410864406330
"TZA",24703915.72045931762176938,94057690.73100682961950719
"UGA",6926895.42900698894944361,24143952.93930347622561458
"UKR",11363522.956963714103359994,60136109.70821625430034076
"UMI",73.97253855714081511,541.679762804993470
"URY",2119109.49438562815376681,17746574.34434791151059637
"USA",271962124.860728867362653496,947295610.248254989117548909
"UZB",74271.09944061298105025,44755388.10019692072692325
"VAT",5.9329269584830726,52.878039684036315584
"VCT",29654.97803094262648206,39788.97162862953251505
"VEN",57273646.42458902018592035,91249225.52623253528127402
"VGB",7181.51663178248408463,16932.04449944635370192
"VIR",18646.72643762630156552,36213.91572681769147620
"VNM",16371753.92978474832647405,32927599.94752574518642883
"VUT",1148002.59644210581803129,1231886.10315649539738293
"XAD",383.18970239495023750,23448.38132255777572116
"XCA",173395.12414186390105499,37158133.71155808854235244
"XCL",0.0,1008.639098371928953
"XKO",322898.32200137410458417,1091976.44794592216733718
"XNC",13071.43968979623423822,331406.91415764446496773
"XPI",0.0,1969.2127161159839097
"XSP",0.0,188.15293746538872091
"YEM",146.6720381290879757,45220898.29137350434266281
"ZAF",5282113.28239086343627554,121971018.80353452564806670
"ZMB",22436285.04432269238551454,75049201.88692678811908651
"ZWE",1061509.74717811580801995,39068111.13498097557007947
